RowNumber,FieldName,ErrorCode,Message
19,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
19,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
20,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
20,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
20,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
20,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
21,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
21,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
21,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
21,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
22,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
22,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
22,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
22,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
23,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
23,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
23,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
23,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
24,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
24,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
24,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
24,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
25,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
25,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
25,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
25,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
26,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
26,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
26,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
26,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
27,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
27,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
27,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
27,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
28,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
28,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
28,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
28,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
29,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
29,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
29,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
29,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
30,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
30,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
30,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
30,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
31,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
31,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
31,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
31,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
32,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
32,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
32,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
32,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
33,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
33,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
33,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
33,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
34,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
34,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
34,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
34,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
35,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
35,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
35,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
35,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
36,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
36,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
36,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
36,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
37,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
37,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
37,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
37,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
38,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
38,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
38,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
38,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
39,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
39,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
39,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
39,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
40,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
40,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
40,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
40,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
41,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
41,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
41,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
41,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
42,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
42,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
42,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
42,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
43,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
43,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
43,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
43,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
44,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
44,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
44,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
44,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
45,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
45,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
45,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
45,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
46,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
46,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
46,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
46,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
47,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
47,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
47,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
47,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
48,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
48,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
48,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
48,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
49,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
49,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
49,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
49,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
50,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
50,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
50,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
50,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
51,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
51,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
51,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
51,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
52,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
52,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
52,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
52,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
53,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
53,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
53,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
53,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
54,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
54,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
54,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
54,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
55,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
55,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
55,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
55,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
56,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
56,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
